RANK,Country,Happiness,GNI,Lifeexpectancy,ControlofCorruption,PoliticalStability,Unemployment,Meanyearsofschooling
1,Finland,7.821,49452.16672,82.0381,2.270076752,0.981907785,7.525000095,12.87362003
2,Denmark,7.636,60364.78595,81.3753,2.366175175,0.949907005,4.797999859,12.96049023
3,Iceland,7.557,55782.04981,82.6782,1.790595531,1.373475432,5.401000023,13.76716995
4,Switzerland,7.512,66933.00454,83.9872,1.989697456,1.131445169,5.321000099,13.85966015
5,Netherlands,7.415,55979.411,81.6873,2.035641909,0.915172875,4.010000229,12.58162975
6,Luxembourg*,7.404,84649.47467,82.6287,1.871590853,1.20638001,5.227000237,13.01519217
7,Sweden,7.384,54489.37401,82.9833,2.130344868,1.034035444,8.661000252,12.60972023
8,Norway,7.365,64660.10622,83.2339,2.14091754,1.103745222,4.985000134,13.00362968
9,Israel,7.364,41523.74319,82.255,0.855771303,-1.061351061,5.045000076,13.3448664
10,New Zealand,7.2,44057.31394,82.4513,2.201695204,1.438623548,4.124000072,12.94468975
11,Austria,7.163,53618.67138,81.5797,1.271236777,0.914891124,6.301000118,12.25669003
12,Australia,7.162,49238.43335,84.5265,1.73749423,0.850988686,5.111999989,12.72681999
13,Ireland,7.041,76168.98443,81.9976,1.649120331,0.856822491,6.632999897,11.58222303
14,Germany,7.034,54534.21682,80.6301,1.813231826,0.755996048,3.535000086,14.09096691
15,Canada,7.025,46807.98619,82.6565,1.64609468,0.936902642,7.510000229,13.83442722
16,United States,6.977,64765.21509,77.1982,1.046862006,0.004954324,5.464000225,13.68342972
17,United Kingdom,6.943,45224.76564,80.7422,1.670565367,0.542117476,4.526000023,13.4061203
18,Czechia,6.92,38745.21386,77.7283,0.641104996,0.957600653,2.887000084,12.86931038
19,Belgium,6.805,52293.39977,81.8787,1.484489679,0.612554729,6.420000076,12.37567997
20,France,6.687,45937.05273,82.4988,1.310407043,0.371733695,8.062999725,11.61005974
21,Bahrain,6.647,39497.24788,78.7605,0.168159813,-0.505110562,1.873999953,11.04658985
22,Slovenia,6.63,39746.01987,80.6904,0.71923095,0.760043502,4.422999859,12.80368042
23,Costa Rica,6.582,19974.27358,77.0232,0.495704889,0.872772753,17.95400047,8.804059982
24,United Arab Emirates,6.576,62573.59181,78.7104,1.178225279,0.649299502,3.35800004,12.69402981
25,Saudi Arabia,6.523,46111.55135,76.936,0.306925714,-0.583859265,7.357999802,11.31052971
27,Singapore,6.48,90918.64471,82.7545,2.171539545,1.493189692,3.624000072,11.92488003
28,Romania,6.477,30027.29131,74.1847,-0.037915125,0.533032238,5.169000149,11.27511978
29,Spain,6.476,38353.60164,83.01,0.741642237,0.579050899,14.7329998,10.60540009
30,Uruguay,6.474,21268.88122,75.4356,1.61529088,1.046310663,10.44699955,8.982549667
31,Italy,6.467,42839.51441,82.8502,0.542555928,0.578433514,9.833999634,10.7401104
33,Malta,6.447,38884.45623,83.7769,0.31758076,0.972675502,3.499000072,12.21026039
34,Lithuania,6.446,37931.30359,73.7201,0.851239979,0.815429747,7.902999878,13.49810028
35,Slovakia,6.391,30690.48552,74.9101,0.235205427,0.559577465,6.739999771,12.91141987
36,Estonia,6.341,38048.26372,77.1436,1.535825491,0.755603731,6.330999851,13.54843044
37,Panama,6.309,26956.83707,76.2233,-0.570509851,0.28578639,12.0880003,10.54059029
38,Brazil,6.293,14369.88848,72.7504,-0.477816075,-0.485006988,14.40299988,8.128813955
39,Guatemala*,6.262,8723.285317,69.2368,-1.173671126,-0.392172635,3.572000027,5.681300163
40,Kazakhstan,6.234,23942.81837,69.3622,-0.236961946,-0.254261643,4.900000095,12.34756189
